Code,Description,Category,Active,Unit,Default Price List - Exclusive,Default Price List - Inclusive,Physical,Text User Field 1,Text User Field 2,Text User Field 3,Numeric User Field 1,Numeric User Field 2,Numeric User Field 3,Date User Field 1,Date User Field 2,Date User Field 3,Yes/No User Field 1,Yes/No User Field 2,Yes/No User Field 3,VAT Type Sales,VAT Type Purchases,Cost,Quantity,Sales Account,Purchases Account
SSM0002,SOFT SERVE MACHINE WITH REFR HOPPER & AIR PUMP - FLOOR STANDING,CaterMarket,True,EACH,73828.125,76072.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,56250.0,0,Sales,Purchases
STS0009,TOASTER 9 SLICE ELECTRIC,,True,EACH,0.0,3539.48,True,,,,,,,,,,False,False,False,Standard Rate,Standard Rate,0.0,-10,Sales,Purchases
STS1009,9 SLICE TOASTER - NON-STICK PLATES - TOP & BOTTOM FLAT,CaterMarket,True,EACH,4528.125,4665.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3450.0,-4,Sales,Purchases
STS2009,9 SLICE TOASTER - NON-STICK PLATES - TOP RIBBED / BOTTOM FLAT,CaterMarket,True,EACH,4725.0,4869.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3600.0,0,Sales,Purchases
STS3009,9 SLICE TOASTER - NON-STICK PLATES - TOP & BOTTOM RIBBED,CaterMarket,True,EACH,4725.0,4869.1,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3600.0,0,Sales,Purchases
SVS0130,SOUS VIDE COOKER,CaterMarket,True,EACH,7087.5,7302.5,True,,,,,,,,,,,,,Standard Rate,Standard Rate,5400.0,0,Sales,Purchases
SW/PSS0005,KITCHEN SCALE - 5KG,CaterMarket,True,EACH,482.34375,496.8,True,,,,,,,,,,,,,Standard Rate,Standard Rate,367.5,-1,Sales,Purchases
SW/PSS0015,PORTION SCALE - 15KG,CaterMarket,True,EACH,2214.84375,2282.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1687.5,-7,Sales,Purchases
SW/PSS0150,PLATFORM SCALE - 150KG,CaterMarket,True,EACH,4872.65625,5020.9,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3712.5,-3,Sales,Purchases
SW/PSS1015,PORTION SCALE / WATERPROOF- 15KG,CaterMarket,True,EACH,4380.46875,4513.75,True,,,,,,,,,,,,,Standard Rate,Standard Rate,3337.5,0,Sales,Purchases
SWS0002,SNACKWICH MAKER,CaterMarket,True,EACH,3150.0,3245.3,True,,,,,,,,,,,,,Standard Rate,Standard Rate,2400.0,0,Sales,Purchases
TLS0006,LIFT UP TOASTER - 3/6 SLOTS,CaterMarket,True,EACH,2362.5,2434.55,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1800.0,0,Sales,Purchases
TPK0040,TILTPAN - 40LT - ELEC,CaterMarket,True,EACH,51187.5,52743.6,True,,,,,,,,,,,,,Standard Rate,Standard Rate,39000.0,0,Sales,Purchases
TS/5AFL12,SWIVEL ARM,CaterMarket,True,EACH,1575.0,1622.65,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1200.0,-2,Sales,Purchases
TS/5F-2SLX05A,KITCHEN FAUCET WITH GOOSENECK - DECK MOUNTED,CaterMarket,True,EACH,2559.375,2636.95,True,,,,,,,,,,,,,Standard Rate,Standard Rate,1950.0,0,Sales,Purchases
